,patient,accuracy,classifier
444,23,0.864406779661017,LDA
445,23,0.7966101694915254,LDA
446,23,0.7966101694915254,LDA
447,23,0.7796610169491526,LDA
448,23,0.8305084745762712,LDA
449,23,0.864406779661017,LDA
450,23,0.6949152542372882,MLP
451,23,0.7627118644067796,MLP
452,23,0.7288135593220338,MLP
453,23,0.8135593220338984,MLP
454,23,0.864406779661017,MLP
455,23,0.7627118644067796,MLP
456,23,0.6610169491525424,MLP
457,23,0.7627118644067796,MLP
458,23,0.7966101694915254,MLP
459,23,0.8305084745762712,MLP
460,24,0.6,LDA
461,24,0.5666666666666667,LDA
462,24,0.5833333333333334,LDA
463,24,0.65,LDA
464,24,0.5,LDA
465,24,0.5333333333333333,LDA
466,24,0.6,LDA
467,24,0.6666666666666666,LDA
468,24,0.4666666666666667,LDA
469,24,0.7,LDA
470,24,0.5833333333333334,MLP
471,24,0.55,MLP
472,24,0.7,MLP
473,24,0.6333333333333333,MLP
474,24,0.6,MLP
475,24,0.5666666666666667,MLP
476,24,0.65,MLP
477,24,0.65,MLP
478,24,0.36666666666666664,MLP
479,24,0.6333333333333333,MLP
480,25,0.6779661016949152,LDA
481,25,0.7627118644067796,LDA
482,25,0.7288135593220338,LDA
483,25,0.7627118644067796,LDA
484,25,0.5932203389830508,LDA
485,25,0.6271186440677966,LDA
486,25,0.6779661016949152,LDA
487,25,0.6440677966101694,LDA
488,25,0.6779661016949152,LDA
489,25,0.6779661016949152,LDA
490,25,0.6949152542372882,MLP
491,25,0.8135593220338984,MLP
492,25,0.6440677966101694,MLP
493,25,0.7796610169491526,MLP
494,25,0.6101694915254238,MLP
495,25,0.7457627118644068,MLP
496,25,0.6949152542372882,MLP
497,25,0.6779661016949152,MLP
498,25,0.5932203389830508,MLP
499,25,0.711864406779661,MLP
500,26,0.6166666666666667,LDA
501,26,0.7,LDA
502,26,0.6166666666666667,LDA
503,26,0.7166666666666667,LDA
504,26,0.5833333333333334,LDA
505,26,0.65,LDA
506,26,0.65,LDA
507,26,0.6333333333333333,LDA
508,26,0.6333333333333333,LDA
509,26,0.6333333333333333,LDA
510,26,0.6666666666666666,MLP
511,26,0.7666666666666667,MLP
512,26,0.6333333333333333,MLP
513,26,0.6666666666666666,MLP
514,26,0.5,MLP
515,26,0.65,MLP
516,26,0.6333333333333333,MLP
517,26,0.65,MLP
518,26,0.6666666666666666,MLP
519,26,0.5833333333333334,MLP
520,27,0.5178571428571429,LDA
521,27,0.5,LDA
522,27,0.48214285714285715,LDA
523,27,0.5535714285714286,LDA
524,27,0.42857142857142855,LDA
525,27,0.4107142857142857,LDA
526,27,0.4642857142857143,LDA
527,27,0.5714285714285714,LDA
528,27,0.4107142857142857,LDA
529,27,0.4642857142857143,LDA
530,27,0.625,MLP
531,27,0.6071428571428571,MLP
532,27,0.5178571428571429,MLP
533,27,0.4642857142857143,MLP
534,27,0.4642857142857143,MLP
535,27,0.4107142857142857,MLP
536,27,0.4642857142857143,MLP
537,27,0.5357142857142857,MLP
538,27,0.44642857142857145,MLP
539,27,0.48214285714285715,MLP
540,28,0.4576271186440678,LDA
541,28,0.4576271186440678,LDA
542,28,0.5084745762711864,LDA
543,28,0.3898305084745763,LDA
544,28,0.4406779661016949,LDA
545,28,0.4745762711864407,LDA
546,28,0.4745762711864407,LDA
547,28,0.4576271186440678,LDA
548,28,0.3559322033898305,LDA
549,28,0.4745762711864407,LDA
550,28,0.5084745762711864,MLP
551,28,0.4576271186440678,MLP
552,28,0.423728813559322,MLP
553,28,0.3728813559322034,MLP
554,28,0.4915254237288136,MLP
555,28,0.4915254237288136,MLP
556,28,0.5423728813559322,MLP
557,28,0.6101694915254238,MLP
558,28,0.5084745762711864,MLP
559,28,0.559322033898305,MLP
560,29,0.8571428571428571,LDA
561,29,0.8571428571428571,LDA
562,29,1.0,LDA
563,29,0.5714285714285714,LDA
564,29,1.0,LDA
565,29,0.5714285714285714,LDA
566,29,0.8571428571428571,LDA
567,29,0.7142857142857143,LDA
568,29,0.8571428571428571,LDA
569,29,0.7142857142857143,LDA
570,29,0.7142857142857143,MLP
571,29,0.8571428571428571,MLP
572,29,1.0,MLP
573,29,0.7142857142857143,MLP
574,29,0.5714285714285714,MLP
575,29,0.5714285714285714,MLP
576,29,0.8571428571428571,MLP
577,29,1.0,MLP
578,29,0.8571428571428571,MLP
579,29,0.7142857142857143,MLP
580,30,0.6216216216216216,LDA
581,30,0.7027027027027027,LDA
582,30,0.5945945945945946,LDA
583,30,0.5405405405405406,LDA
584,30,0.5945945945945946,LDA
585,30,0.7297297297297297,LDA
586,30,0.6486486486486487,LDA
587,30,0.5945945945945946,LDA
588,30,0.6216216216216216,LDA
589,30,0.6216216216216216,LDA
590,30,0.5675675675675675,MLP
591,30,0.6216216216216216,MLP
592,30,0.43243243243243246,MLP
593,30,0.5135135135135135,MLP
594,30,0.5405405405405406,MLP
595,30,0.5675675675675675,MLP
596,30,0.6216216216216216,MLP
597,30,0.5945945945945946,MLP
598,30,0.40540540540540543,MLP
599,30,0.5675675675675675,MLP
600,31,0.6333333333333333,LDA
601,31,0.55,LDA
602,31,0.5333333333333333,LDA
603,31,0.6,LDA
604,31,0.6,LDA
605,31,0.55,LDA
606,31,0.6333333333333333,LDA
607,31,0.6833333333333333,LDA
608,31,0.5666666666666667,LDA
609,31,0.6833333333333333,LDA
610,31,0.6666666666666666,MLP
611,31,0.5,MLP
612,31,0.55,MLP
613,31,0.5666666666666667,MLP
614,31,0.6,MLP
615,31,0.5666666666666667,MLP
616,31,0.6333333333333333,MLP
617,31,0.6,MLP
618,31,0.6,MLP
619,31,0.55,MLP
620,32,0.5166666666666667,LDA
621,32,0.5666666666666667,LDA
622,32,0.48333333333333334,LDA
623,32,0.5666666666666667,LDA
624,32,0.55,LDA
625,32,0.55,LDA
626,32,0.5666666666666667,LDA
627,32,0.55,LDA
628,32,0.65,LDA
629,32,0.5333333333333333,LDA
630,32,0.4666666666666667,MLP
631,32,0.5,MLP
632,32,0.5166666666666667,MLP
633,32,0.48333333333333334,MLP
634,32,0.45,MLP
635,32,0.6666666666666666,MLP
636,32,0.6333333333333333,MLP
637,32,0.5333333333333333,MLP
638,32,0.5166666666666667,MLP
639,32,0.5333333333333333,MLP
640,33,0.6206896551724138,LDA
